codigodanedepartamento,codigodanemunicipio,tipoarea,ano,mes,condicion
18,18592,1,2009,4,2
41,41206,1,2009,4,2
5,579,1,2009,4,2
5,5045,1,2009,4,2
5,5045,1,2009,4,2
50,5035,1,2009,4,2
50,5035,1,2009,4,2
50,5037,1,2009,4,2
50,5037,1,2009,4,2
54,548,1,2009,4,2
50,50223,1,2009,4,2
5,579,1,2009,4,2
5,5361,1,2009,4,2
5,5361,1,2009,4,2
50,5035,1,2009,4,2
50,5037,1,2009,4,2
5,5361,1,2009,4,2
5,5361,1,2009,4,2
50,5037,1,2009,4,2
81,81065,1,2009,4,2
81,81065,1,2009,4,2
81,81065,1,2009,4,2
73,73622,1,2009,4,2
54,54206,1,2009,4,2
23,23466,2,2009,4,2
18,18592,1,2009,3,1
18,18592,1,2009,2,1
95,952,1,2009,4,2
50,50683,1,2009,2,1
95,952,1,2009,4,2
95,952,1,2009,4,2
95,952,1,2009,4,2
95,952,1,2009,4,2
95,952,1,2009,4,2
95,952,1,2009,4,2
95,952,1,2009,4,2
95,952,1,2009,4,2
95,952,1,2009,4,2
50,5033,1,2009,2,1
50,5033,1,2009,2,1
50,5033,1,2009,3,1
50,5033,1,2009,3,1
54,54344,1,2009,2,1
54,5472,1,2009,1,1
18,18753,1,2009,4,1
95,95001,1,2009,1,1
52,52699,1,2009,4,1
52,52079,1,2009,1,2
52,52079,1,2009,1,2
50,5033,1,2009,5,2
50,50711,1,2009,5,2
18,18753,1,2009,5,2
18,18592,1,2009,5,2
23,2358,1,2009,5,2
54,54344,1,2009,5,2
54,54344,1,2009,5,2
5,579,1,2009,5,2
5,579,1,2009,5,2
76,76275,1,2009,5,2
76,76275,1,2009,5,2
52,52678,1,2009,5,2
52,52678,1,2009,5,2
52,52678,1,2009,5,2
18,18753,1,2009,5,2
50,5037,1,2009,5,2
50,5033,1,2009,5,2
81,81794,1,2009,5,2
81,81794,1,2009,5,2
54,5472,1,2009,5,2
44,4411,1,2009,4,1
52,52699,1,2009,5,1
81,81736,1,2009,4,1
17,17495,1,2009,1,1
86,86571,1,2008,10,1
5,504,1,2009,1,2
86,86757,1,2008,9,1
52,52079,1,2008,9,1
52,52699,1,2008,10,1
81,81794,1,2009,3,2
52,52079,1,2009,4,1
81,81065,1,2009,4,1
50,50711,1,2009,4,1
81,81794,1,2008,10,1
52,52385,1,2008,11,1
52,52079,1,2008,11,1
23,23807,1,2008,12,1
23,23807,1,2008,12,1
50,5033,1,2009,2,1
5,5134,1,2009,3,2
41,41799,1,2009,3,2
18,18592,1,2009,4,2
18,18753,1,2009,5,2
81,81794,1,2009,5,2
50,5059,1,2008,11,2
52,52612,1,2007,12,1
5,566,1,2004,1,1
41,4102,2,2008,12,1
5,5031,1,2008,12,2
50,5035,1,2009,1,2
50,5037,1,2008,10,1
50,5037,1,2009,1,2
13,1316,1,2,9,1
68,68385,1,2006,5,1
95,95001,1,2008,8,2
18,18753,1,2008,12,2
52,52079,1,2009,1,2
54,54206,1,2009,2,1
73,73622,1,2009,5,2
13,13244,1,2007,6,1
54,5467,1,2009,5,2
54,5467,1,2009,5,2
54,5467,1,2009,5,2
54,5467,1,2009,5,2
54,5467,1,2009,5,2
54,5467,1,2009,5,2
54,54398,1,2009,5,2
50,50223,1,2008,12,2
54,54398,1,2009,5,2
27,2725,1,2008,1,1
52,52612,1,2008,3,1
18,18753,1,2008,10,2
